# x_m,y_m
-2.954256424686946,29.781204726830598
-3.2468210627345115,30.360771369607622
-3.56912106273451,30.928021222181872
-3.8482321896059446,31.51316049174959
-4.161417478950696,32.08418578109435
-4.474602768295462,32.65521107043911
-4.7877880576402205,33.22623635978387
-5.055393243869702,33.81614154601334
-5.374001062734514,34.38492075008854
-5.681763822559212,34.958192124702876
-5.994949111903978,35.529217414047636
-6.276441062734513,36.11337051404186
-6.5342810627345145,36.7073205728467
-6.727661062734512,37.32797083788208
-6.856581062734513,37.97532130914806
-6.856581062734513,38.622671780414024
-6.788463133571604,39.29520729404108
-6.598741062734511,39.917372722945956
-6.34090106273451,40.51132278175076
-6.031227677998459,41.08380274961422
-5.76076106273451,41.672522693129835
-5.450437202424226,42.244733225188455
-5.1806210627345095,42.833722604508935
