#s_m,x_m,y_m, psi_rad, kappa_radpm,vx_mps, ax_mps2,heading,ld_m
83.3941593,-21.1705873,32.1325047,5.5630047,-0.0105894,8.0,0.0,-0.7212222954424969,0.6
83.5941453,-21.0203959,32.0004515,5.5609393,-0.010066,8.0,0.0,-0.723234978549842,0.6
83.7941313,-20.8704731,31.8680985,5.5589786,-0.0095425,8.0,0.0,-0.7251437095873987,0.6
83.9941173,-20.7208039,31.7354602,5.5571226,-0.009019,8.0,0.0,-0.7269469282976203,0.6
84.1941033,-20.5713715,31.6025499,5.5553712,-0.0084956,8.0,0.0,-0.7286461924763012,0.6
84.3940893,-20.4221689,31.4693892,5.5537246,-0.0079721,8.0,0.0,-0.7302401752012345,0.6
84.5940753,-20.2731749,31.3359874,5.5521826,-0.0074487,8.0,0.0,-0.731729888155559,0.6
84.7940613,-20.1243817,31.2023655,5.5507453,-0.0069253,8.0,0.0,-0.7331148208243783,0.6
84.9940473,-19.9757743,31.0685382,5.5494127,-0.006402,8.0,0.0,-0.7343954077438871,0.6
85.1940333,-19.8273364,30.9345189,5.5481847,-0.0058788,8.0,0.0,-0.7355712421155721,0.6
85.3940193,-19.679059,30.8003277,5.5470614,-0.0053555,8.0,0.0,-0.7366420135968873,0.6
85.5940053,-19.5309225,30.6659752,5.5460426,-0.0048325,8.0,0.0,-0.7376082992896918,0.6
85.7939913,-19.3829173,30.5314809,5.5451285,-0.0043094,8.0,0.0,-0.7384704604215959,0.6
85.9939773,-19.2350285,30.3968594,5.544319,-0.0037865,8.0,0.0,-0.7392272950113494,0.6
86.1939633,-19.0872403,30.2621248,5.543614,-0.0032637,8.0,0.0,-0.7398804950168477,0.6
86.3939492,-18.9395419,30.1272953,5.5430136,-0.002741,8.0,0.0,-0.7404278622184359,0.6
86.5939352,-18.7919156,29.9923834,5.5425177,-0.0022184,8.0,0.0,-0.7408721438406013,0.6
86.7939212,-18.6443501,29.8574067,5.5421263,-0.0016959,8.0,0.0,-0.7412115039154669,0.6
86.9939072,-18.4968306,29.7223801,5.5418393,-0.0011735,8.0,0.0,-0.7414456309466668,0.6
87.1938932,-18.3493421,29.5873184,5.5416569,-0.0006514,8.0,0.0,-0.7415760222975947,0.6
87.3938792,-18.2018719,29.4522381,5.5415788,-0.0001292,8.0,0.0,-0.7416020410398858,0.6
87.5938652,-18.0544046,29.3171534,5.5416052,0.0003929,8.0,0.0,-0.7415234051956163,0.6
87.7938512,-17.9069269,29.1820805,5.541736,0.000915,8.0,0.0,-0.7413403932703704,0.6
87.9938372,-17.7594246,29.0470347,5.5419711,0.0014369,8.0,0.0,-0.7410530367653078,0.6
88.1938232,-17.6118834,28.9120312,5.5423106,0.0019584,8.0,0.0,-0.7406616429678287,0.6
88.3938092,-17.4642892,28.7770853,5.5427544,0.00248,8.0,0.0,-0.7401652825700407,0.6
88.5937952,-17.3166285,28.6422131,5.5433025,0.0030003,8.0,0.0,-0.7395654776059007,0.6
88.7937812,-17.1688865,28.5074291,5.5439545,0.0035204,8.0,0.0,-0.7388617792719484,0.6
88.9937672,-17.0210498,28.3727492,5.5447105,0.00404,8.0,0.0,-0.7380532036298612,0.6
89.1937532,-16.8731046,28.2381892,5.5455703,0.0045586,8.0,0.0,-0.7371420403700031,0.6
