# x, y, psi, w_tr_right, w_tr_left
-2.319,-0.658,0.243,1.083,1.083
-2.087,-0.600,0.254,1.083,1.083
-1.855,-0.542,0.209,1.083,1.083
-1.623,-0.484,0.380,1.083,1.083
-1.391,-0.368,0.380,1.083,1.083
-1.159,-0.310,0.209,1.083,1.083
-0.927,-0.252,0.255,1.083,1.083
-0.696,-0.194,0.242,1.083,1.083
-0.464,-0.136,0.245,1.100,1.100
-0.232,-0.078,0.245,1.100,1.100
-0.000,-0.020,0.245,1.100,1.100
0.232,0.038,0.245,1.100,1.100
0.464,0.096,0.245,1.100,1.100
0.695,0.154,0.245,1.083,1.083
0.927,0.212,0.243,1.083,1.083
1.159,0.270,0.254,1.083,1.083
1.391,0.328,0.209,1.083,1.083
1.623,0.386,0.380,1.069,1.069
1.855,0.502,0.380,1.083,1.083
2.086,0.560,0.209,1.083,1.083
2.318,0.618,0.254,1.083,1.083
2.550,0.675,0.242,1.100,1.100
2.782,0.733,0.246,1.100,1.100
3.014,0.791,0.245,1.100,1.100
3.246,0.849,0.245,1.100,1.100
3.477,0.907,0.245,1.100,1.100
3.709,0.965,0.246,1.100,1.100
3.941,1.023,0.242,1.083,1.083
4.173,1.081,0.255,1.083,1.083
4.405,1.139,0.209,1.083,1.083
4.637,1.197,0.379,1.069,1.069
4.869,1.313,0.380,1.083,1.083
5.100,1.371,0.210,1.083,1.083
5.332,1.429,0.254,1.083,1.083
5.564,1.487,0.242,1.100,1.100
5.796,1.545,0.246,1.100,1.100
6.028,1.603,0.245,1.100,1.100
6.260,1.661,0.245,1.100,1.100
6.491,1.719,0.245,1.100,1.100
6.723,1.777,0.242,1.083,1.083
6.955,1.835,0.254,1.083,1.083
7.187,1.893,0.209,1.083,1.083
7.419,1.951,0.380,1.083,1.083
7.651,2.067,0.380,1.083,1.083
7.882,2.124,0.209,1.083,1.083
8.114,2.182,0.254,1.083,1.083
8.346,2.240,0.243,1.083,1.083
8.578,2.298,0.246,1.100,1.100
8.810,2.356,0.245,1.100,1.100
9.042,2.414,0.245,1.100,1.100
9.273,2.472,0.245,1.100,1.100
9.505,2.530,0.245,1.100,1.100
9.737,2.588,0.246,1.083,1.083
9.969,2.646,0.242,1.083,1.083
10.201,2.704,0.255,1.083,1.083
