# x_m,y_m,theta_rad,kappa_1pm,v_mps,heading,ld_m
-24.59692315400557,20.216783951084206,-2.4592256758572346,-0.032775447855407,12.0,2.470418715416498,0.6
-25.12070788327447,20.632756359078886,-2.454676060997979,0.0460896154124549,12.0,2.439262155608315,0.6
-25.642168871965215,21.07405841273889,-2.4491645950198704,-0.0293334376719328,12.0,2.4591838990887593,0.6
-26.16613388989264,21.499860196930857,-2.4559286069582345,0.0096224035647736,12.0,2.4526802564718206,0.6
-26.68843233836347,21.929977820613804,-2.447297716738761,0.0157599229334724,12.0,2.441966081017803,0.6
-27.211034876004504,22.369826364393663,-2.452895548068642,-0.0326825575977931,12.0,2.464057736628065,0.6
-27.73213082766263,22.789096204345334,-2.4513882774037947,0.0370939085879152,12.0,2.438983599485386,0.6
-28.25344573951937,23.23052391217937,-2.4558221451285056,-0.0503476280579977,12.0,2.4730184325038804,0.6
-28.77832948053571,23.64514852687104,-2.4568389929450305,0.0473721577901739,12.0,2.4409955785279482,0.6
-29.300513057398028,24.08551093137248,-2.455374062580224,-0.0429937609172643,12.0,2.4700581065579486,0.6
-29.82414534801617,24.5016702853148,-2.455377708610808,0.0429821883769231,12.0,2.4410030947901027,0.6
-30.34634313506688,24.942037957142315,-2.4513308362342388,-0.0305838596126193,12.0,2.4617766280642086,0.6
-30.871572216171085,25.36661063441419,-2.4547563655037288,0.0207578902370632,12.0,2.4477467150734515,0.6
-31.391579135072423,25.79916405842314,-2.44786096959629,-0.0003345331836761,12.0,2.447974107816444,0.6
-31.91681613091409,26.235865940378748,-2.457281732559632,-0.0278321334546564,12.0,2.466787360876693,0.6
-32.43906585117636,26.653720834947425,-2.457062759782761,0.0284753722081641,12.0,2.4475400232022397,0.6
-32.96407460639729,27.0906185299219,-2.4462336726795044,0.0039061711076786,12.0,2.44489967979584,0.6
-33.477072940934995,27.5198190318076,-2.4457572771319835,-0.0025114155688356,12.0,2.4465971760925243,0.6
-34.001624352441766,27.957173863566485,-2.44770387009585,-0.0032515363601187,12.0,2.44881420362662,0.6
